frame,Oxygen Sensor-Bank1/Sensor1,Air Flow Rate from Mass Air Flow Sensor,Engine Coolant Temperature Sensor,Oil Temperature Sensor,Intake Air Temperature Sensor,Throttle Position,Adapted Throttle Position,Battery voltage,Cranking Signal,Closed Throttle Position,Part Load Status,Vehicle Speed,Engine Speed,Target Idle Speed,Transaxle Range Switch,A/C Switch,A/C Pressure Switch,A/C Relay,Oxygen Sensor-Bank1/Sensor2,Cylinder Injection Time-Bank1,Fuel System Status,Long Term Fuel Trim-Idle Load,Long Term Fuel Trim-Part Load,Oxygen Sensor Heater Duty-Bank1/Sensor1,Oxygen Sensor Heater Duty-Bank1/Sensor2,Idle speed control actuator,EVAP Purge valve,Ignition dwell time,Camshaft Actual Position,Camshaft position target,CVVT Status,CVVT Actuation Status,CVVT Duty Control Status,CVVT Valve Duty,Ignition Timing Advance for 1 Cylinder
11,181964.99,328.97,36.0,61,-48.0,28.59,0.18,14.02,1,2,4,0,168,87,0,0,0,0,181964.99,0.0,0,74.75,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
12,181964.99,576.97,36.0,61,-48.0,29.05,0.18,13.92,0,2,4,0,169,88,0,0,0,0,181964.99,0.0,0,71.68,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
13,179455.13,384.97,36.0,61,-48.0,28.59,0.18,14.02,0,0,0,0,167,88,0,0,1,2,179455.13,0.0,0,68.61,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
14,178200.2,2008.94,36.0,61,-48.0,28.12,0.17,14.12,1,0,4,0,165,88,0,0,1,2,178200.2,0.0,0,68.61,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
15,181964.99,880.97,36.75,61,-48.0,29.05,0.18,14.02,0,0,4,0,155,87,0,0,0,0,181964.99,0.0,0,68.61,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
16,181964.99,240.97,36.75,61,-48.0,28.59,0.18,13.92,0,0,4,0,138,88,0,0,0,0,181964.99,0.0,0,63.49,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
17,180710.06,1704.94,36.75,61,-48.0,27.65,0.17,14.12,0,2,4,0,130,88,0,0,0,0,180710.06,0.0,0,59.39,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
18,178200.2,833.0,36.75,61,-48.0,29.05,0.18,14.12,1,2,4,0,125,88,0,0,1,2,178200.2,0.0,0,54.27,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
19,179455.13,1097.0,36.75,61,-48.0,29.05,0.18,14.02,0,0,0,0,83,87,0,0,1,2,179455.13,0.0,0,51.2,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
20,181964.99,480.97,36.75,61,-48.0,28.59,0.18,14.02,1,2,0,0,51,88,0,0,0,0,181964.99,0.0,0,41.98,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
21,183219.93,320.97,36.75,61,-48.0,29.05,0.18,14.12,0,2,4,0,37,88,0,0,1,0,183219.93,0.0,0,43.01,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
22,184474.86,32.97,36.75,61,-48.0,28.12,0.18,14.12,1,2,4,0,33,88,0,0,1,0,184474.86,0.0,0,36.86,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
23,183219.93,1520.94,36.75,61,-48.0,28.59,0.18,14.02,0,0,0,0,34,87,0,0,1,0,183219.93,0.0,0,28.67,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
24,180710.06,784.97,36.75,61,-48.0,29.05,0.18,13.92,1,0,4,0,40,88,0,0,0,0,180710.06,0.0,0,20.48,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
25,180710.06,1064.97,36.75,61,-48.0,28.59,0.18,14.12,0,0,0,0,99,88,0,0,0,0,180710.06,0.0,0,0.0,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
26,180710.06,488.94,36.75,61,-48.0,27.65,0.17,14.12,0,2,4,0,157,87,0,0,0,0,180710.06,0.0,0,0.0,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
27,207063.61,1264.91,36.75,61,-48.0,28.59,0.18,13.92,0,0,4,0,167,88,0,0,0,2,207063.61,0.0,0,0.0,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
28,214593.2,1464.88,36.75,61,-48.0,28.12,0.17,14.02,0,0,0,0,161,88,0,0,1,0,214593.2,0.0,0,0.0,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
29,203298.82,856.88,36.75,61,-48.0,28.59,0.17,14.22,1,2,0,0,142,87,0,0,1,0,203298.82,0.0,0,27.65,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
30,225887.58,1648.84,36.75,61,-48.0,29.52,0.18,14.12,1,2,4,0,83,87,0,0,0,2,225887.58,0.0,0,238.59,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
31,219612.92,56.88,36.75,61,-48.0,29.05,0.18,14.02,0,2,0,0,32,88,0,0,1,2,219612.92,0.0,0,160.77,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
32,205808.68,824.91,36.75,61,-48.0,28.59,0.17,14.12,1,2,0,0,24,88,0,0,0,2,205808.68,0.0,0,44.03,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
33,203298.82,1632.91,37.5,61,-48.0,27.65,0.17,14.12,1,2,0,0,22,88,0,0,1,0,203298.82,0.0,0,66.56,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
34,207063.61,832.91,37.5,61,-48.0,28.59,0.18,14.22,0,2,0,0,25,88,0,0,0,2,207063.61,0.0,0,83.97,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
35,213338.27,312.91,37.5,61,-48.0,28.59,0.18,14.12,0,0,0,0,112,88,0,0,1,0,213338.27,0.0,0,101.38,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
36,205808.68,1840.91,37.5,61,-48.0,28.59,0.18,14.12,1,2,0,0,159,88,0,0,0,2,205808.68,0.0,0,115.71,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
37,207063.61,8.88,37.5,61,-48.0,28.59,0.18,14.22,1,0,0,0,170,87,0,0,0,2,207063.61,0.0,0,132.1,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
38,208318.55,152.88,37.5,61,-48.0,28.59,0.18,14.22,0,0,0,0,173,88,0,0,1,2,208318.55,0.0,0,146.43,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
39,209573.48,1928.88,37.5,61,-48.0,26.71,0.17,14.02,0,2,0,0,172,88,0,0,1,2,209573.48,0.0,0,156.67,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
40,210828.41,1712.88,37.5,61,-48.0,28.12,0.18,14.02,1,2,0,0,171,88,0,0,0,0,210828.41,0.0,0,165.89,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
41,210828.41,1184.84,37.5,61,-48.0,28.59,0.17,14.22,1,0,4,0,171,87,0,0,0,0,210828.41,0.0,0,177.15,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
42,210828.41,496.84,37.5,61,-48.0,28.59,0.18,14.12,0,2,4,0,170,88,0,0,0,0,210828.41,0.0,0,184.32,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
43,210828.41,200.84,37.5,61,-48.0,29.05,0.18,14.12,1,2,0,0,171,87,0,0,0,0,210828.41,0.0,0,192.51,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
44,210828.41,0.88,37.5,61,-48.0,28.59,0.18,14.02,1,0,4,0,168,88,0,0,0,0,210828.41,0.0,0,204.8,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
45,212083.34,1696.84,37.5,61,-48.0,28.12,0.18,14.22,0,0,4,0,163,88,0,0,0,0,212083.34,0.0,0,207.87,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
46,212083.34,1096.81,37.5,61,-48.0,28.12,0.17,14.22,1,2,4,0,156,87,0,0,0,0,212083.34,0.0,0,210.94,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
47,212083.34,696.84,37.5,61,-48.0,28.59,0.18,14.12,1,2,0,0,146,88,0,0,0,0,212083.34,0.0,0,212.99,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
48,210828.41,824.84,37.5,61,-48.0,28.12,0.18,14.02,0,2,4,0,131,87,0,0,0,0,210828.41,0.0,0,215.04,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
49,209573.48,1592.88,37.5,61,-48.0,28.59,0.18,14.12,1,2,0,0,98,88,0,0,1,2,209573.48,0.0,0,215.04,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
50,210828.41,1808.84,37.5,61,-48.0,28.12,0.17,14.12,1,0,0,0,61,87,0,0,0,0,210828.41,0.0,0,210.94,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
51,212083.34,1872.84,37.5,61,-48.0,28.59,0.17,14.12,0,2,4,0,40,87,0,0,0,0,212083.34,0.0,0,205.82,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
52,210828.41,1592.84,37.5,61,-48.0,28.59,0.17,14.02,1,0,0,0,49,88,0,0,0,0,210828.41,0.0,0,200.7,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
53,210828.41,1648.88,38.25,61,-48.0,28.12,0.18,14.02,1,2,0,0,136,87,0,0,0,0,210828.41,0.0,0,196.61,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
54,210828.41,1312.88,38.25,61,-48.0,29.05,0.18,14.12,1,0,4,0,166,88,0,0,0,0,210828.41,0.0,0,188.42,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
55,209573.48,1760.88,38.25,61,-48.0,28.59,0.18,14.02,1,0,4,0,168,87,0,0,1,2,209573.48,0.0,0,187.39,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
56,208318.55,232.88,38.25,61,-48.0,29.05,0.18,14.02,1,2,0,0,162,87,0,0,1,2,208318.55,0.0,0,183.3,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
57,208318.55,744.88,38.25,61,-48.0,28.12,0.18,13.92,1,2,0,0,154,87,0,0,1,2,208318.55,0.0,0,171.01,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
58,207063.61,1160.91,38.25,61,-48.0,28.12,0.18,14.02,1,2,0,0,141,88,0,0,0,2,207063.61,0.0,0,166.91,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
59,207063.61,1136.88,38.25,61,-48.0,28.59,0.17,14.12,1,2,0,0,128,88,0,0,0,2,207063.61,0.0,0,155.65,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
60,205808.68,1280.88,38.25,61,-48.0,28.12,0.17,13.92,0,0,4,0,51,87,0,0,0,2,205808.68,0.0,0,148.48,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
61,207063.61,1440.91,38.25,61,-48.0,28.59,0.18,13.92,1,2,4,0,33,88,0,0,0,2,207063.61,0.0,0,144.38,0.0,50.0,0.0,2.27,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
62,208318.55,1336.88,38.25,61,-48.0,27.65,0.17,14.12,0,0,0,0,27,88,0,0,1,2,208318.55,0.0,0,143.36,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
63,208318.55,1128.84,38.25,61,-48.0,28.12,0.17,14.12,0,0,0,0,25,88,0,0,1,2,208318.55,0.0,0,141.31,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
64,207063.61,1400.91,38.25,61,-48.0,28.59,0.18,13.82,1,2,0,0,25,87,0,0,0,2,207063.61,0.0,0,143.36,0.0,50.0,0.0,2.3,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
65,203298.82,1696.88,38.25,61,-48.0,27.65,0.17,13.82,0,0,4,0,27,87,0,0,1,0,203298.82,0.0,0,139.26,0.0,50.0,0.0,2.3,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
66,208318.55,1840.88,38.25,61,-48.0,28.59,0.17,14.12,0,2,0,0,29,88,0,0,1,2,208318.55,0.0,0,158.72,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
67,209573.48,1336.88,38.25,61,-48.0,28.59,0.18,14.02,1,0,0,0,32,88,0,0,1,2,209573.48,0.0,0,172.03,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
68,210828.41,960.84,38.25,61,-48.0,27.65,0.17,14.02,0,0,0,0,30,87,0,0,0,0,210828.41,0.0,0,182.27,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
69,212083.34,1056.91,38.25,61,-48.0,29.52,0.18,14.12,0,2,0,0,38,87,0,0,0,0,212083.34,0.0,0,187.39,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
70,212083.34,1760.94,38.25,61,-48.0,30.93,0.19,14.12,0,2,4,0,124,88,0,0,0,0,212083.34,0.0,0,193.54,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
71,193259.37,761.28,38.25,61,-48.0,38.9,0.27,14.12,1,0,4,0,142,88,0,0,1,0,193259.37,0.0,0,196.61,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.95
72,159376.24,1753.19,38.25,61,-48.0,41.71,0.32,14.02,0,2,0,0,179,88,0,0,1,2,159376.24,0.0,0,172.03,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.95
73,151846.65,1049.03,39.0,61,-48.0,41.24,0.3,14.12,0,0,4,0,178,87,0,0,0,0,151846.65,0.0,0,165.89,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
74,150591.72,665.0,39.0,61,-48.0,41.24,0.3,14.22,0,0,4,0,156,88,0,0,0,0,150591.72,0.0,0,178.18,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
75,150591.72,129.06,39.0,61,-48.0,40.77,0.31,14.12,0,2,4,0,66,88,0,0,0,0,150591.72,0.0,0,189.44,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
76,150591.72,1161.0,39.0,61,-48.0,41.24,0.3,14.02,1,0,0,0,30,88,0,0,0,0,150591.72,0.0,0,197.63,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
77,149336.79,1681.03,39.0,61,-48.0,41.71,0.32,14.12,0,2,0,0,20,88,0,0,1,2,149336.79,0.0,0,204.8,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
78,148081.86,649.03,39.0,61,-48.0,41.71,0.32,14.12,1,2,4,0,22,87,0,0,1,2,148081.86,0.0,0,208.9,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
79,148081.86,337.0,39.0,61,-48.0,41.24,0.32,14.12,0,2,0,0,23,87,0,0,1,2,148081.86,0.0,0,212.99,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
80,146826.93,1441.0,39.0,61,-48.0,42.18,0.32,14.02,1,2,0,0,28,88,0,0,0,2,146826.93,0.0,0,217.09,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
81,144317.07,88.97,39.0,61,-48.0,42.18,0.32,14.02,0,0,4,0,31,87,0,0,1,0,144317.07,0.0,0,220.16,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
82,143062.13,889.0,39.0,61,-48.0,43.58,0.34,14.12,0,2,0,0,66,88,0,0,1,0,143062.13,0.0,0,223.23,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
83,141807.2,57.0,39.0,61,-48.0,43.11,0.34,14.02,0,0,4,0,139,87,0,0,0,0,141807.2,0.0,0,226.3,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
84,140552.27,201.0,39.0,61,-48.0,43.58,0.35,14.12,0,0,0,0,165,87,0,0,0,0,140552.27,0.0,0,229.38,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
85,139297.34,673.0,39.0,61,-48.0,44.52,0.36,14.12,1,2,4,0,168,88,0,0,1,2,139297.34,0.0,0,231.42,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
86,149336.79,969.59,39.0,61,-48.0,56.24,0.6,14.12,1,0,0,0,168,87,0,0,1,2,149336.79,0.0,0,227.33,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-74.6
87,145572.0,1057.38,39.0,61,-48.0,55.77,0.59,14.02,0,0,0,0,178,88,0,0,0,2,145572.0,0.0,0,218.11,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-74.28
88,144317.07,1961.34,39.75,61,-48.0,56.7,0.6,14.12,1,2,4,0,165,87,0,0,1,0,144317.07,0.0,0,223.23,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.95
89,141807.2,1897.22,39.75,61,-48.0,54.36,0.55,14.12,0,0,0,0,136,87,0,0,0,0,141807.2,0.0,0,229.38,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.62
90,136787.48,1017.0,39.75,61,-48.0,50.14,0.46,14.02,0,0,0,0,148,87,0,0,0,2,136787.48,0.0,0,239.62,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
91,134277.62,689.0,39.75,61,-48.0,49.67,0.46,14.02,0,2,0,0,139,88,0,0,1,0,134277.62,0.0,0,243.71,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
92,134277.62,1169.03,39.75,61,-48.0,49.67,0.46,14.12,1,0,4,0,63,87,0,0,1,0,134277.62,0.0,0,241.66,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
93,139297.34,897.12,39.75,61,-48.0,50.14,0.46,14.22,1,0,0,0,20,87,0,0,1,2,139297.34,0.0,0,228.35,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
94,145572.0,1153.28,39.75,61,-48.0,49.21,0.45,14.02,1,0,4,0,18,88,0,0,0,2,145572.0,0.0,0,190.46,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.62
95,146826.93,961.31,39.75,61,-48.0,49.67,0.45,14.12,1,2,0,0,18,87,0,0,0,2,146826.93,0.0,0,198.66,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.62
96,146826.93,1841.25,39.75,61,-48.0,48.74,0.44,14.12,1,0,4,0,17,88,0,0,0,2,146826.93,0.0,0,199.68,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.62
97,145572.0,81.25,39.75,61,-48.0,48.74,0.44,14.02,1,0,0,0,18,87,0,0,0,2,145572.0,0.0,0,201.73,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.62
98,145572.0,673.22,39.75,61,-48.0,48.74,0.43,14.02,0,0,4,0,20,88,0,0,0,2,145572.0,0.0,0,206.85,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.62
99,144317.07,609.22,39.75,61,-48.0,49.21,0.44,14.12,0,2,4,0,21,88,0,0,1,0,144317.07,0.0,0,208.9,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.62
100,140552.27,1472.94,39.75,61,-48.0,43.58,0.34,14.12,1,2,0,0,51,87,0,0,0,0,140552.27,0.0,0,215.04,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
101,140552.27,1624.94,39.75,61,-48.0,42.65,0.33,14.12,0,0,0,0,174,87,0,0,0,0,140552.27,0.0,0,222.21,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-73.3
102,138042.41,560.75,39.75,61,-48.0,37.02,0.26,14.02,0,0,0,0,182,87,0,0,1,2,138042.41,0.0,0,232.45,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
103,136787.48,184.75,40.5,61,-48.0,37.49,0.26,14.12,1,0,0,0,181,88,0,0,0,2,136787.48,0.0,0,238.59,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
104,138042.41,1744.75,40.5,61,-48.0,37.49,0.26,14.22,1,2,0,0,177,88,0,0,1,2,138042.41,0.0,0,239.62,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
105,136787.48,1832.75,40.5,61,-48.0,36.08,0.25,14.12,1,2,4,0,173,87,0,0,0,2,136787.48,0.0,0,240.64,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
106,136787.48,1344.75,40.5,61,-48.0,36.55,0.25,14.12,0,2,0,0,172,87,0,0,0,2,136787.48,0.0,0,241.66,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
107,138042.41,1960.78,40.5,61,-48.0,37.49,0.26,14.22,0,2,0,0,167,87,0,0,1,2,138042.41,0.0,0,241.66,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
108,136787.48,1560.75,40.5,61,-48.0,36.55,0.26,14.12,1,0,0,0,163,87,0,0,0,2,136787.48,0.0,0,241.66,0.0,50.0,0.0,2.22,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
109,136787.48,1616.75,40.5,61,-48.0,37.02,0.25,14.02,1,0,4,0,159,87,0,0,0,2,136787.48,0.0,0,241.66,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
110,136787.48,1728.75,40.5,61,-48.0,37.02,0.26,14.02,0,0,4,0,157,88,0,0,0,2,136787.48,0.0,0,243.71,0.0,50.0,0.0,2.24,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
111,136787.48,1632.75,40.5,61,-48.0,37.02,0.26,14.22,0,2,4,0,148,88,0,0,0,2,136787.48,0.0,0,242.69,0.0,50.0,0.0,2.2,0.0,0.0,60.0,60.0,0,0,0,0.0,-72.97
